spec,programText,verdict,verdictTest,task,tests
33bf803a-cd1b-4334-a9e1-c31870659239,"x=int (input())\r\nx=x-2\r\nif x%10==1 and x!=11:\r\n   print(x,'mag')\r\nelif (x%10==2 or x%10==3 or x%10==4) and x!=12 and x!=13 and x!=14:\r\n   print(x,'maga')\r\nelse :\r\n   print(x,'magov')\r\n\r\n\r\n\r\n\r\n",WA,12,4659a273-9c89-4ff8-a1bd-6d0ae87e9915,20
f11a120a-c23e-4221-a455-7a4f506fa464,a=str(bin(int(input())))\r\nprint(a[2:]),WA,4,84118453-37c4-4256-a8f0-5dc2707d4e35,5
867a87bf-3f60-435b-b4f3-5c18f99bd469,"n = int(input())\r\n\r\ngr = [[] * n for i in range(n)]\r\nA = [[] * n for i in range(n)]\r\ninf=10**10\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if (gr[i][j]==-1):\r\n            gr[i][j]=inf\r\n\r\nA = [[gr[i][j] for j in range(n)] for i in range(n)] \r\nfor k in range(n): \r\n    for i in range(n):\r\n        for j in range(n): \r\n            A[i][j] = min(A[i][j], A[i][k] + A[k][j])\r\n\r\n\r\n\r\nfor row in A:\r\n    print(' '.join(map(str, row)))",TL,7,b8c265d0-999d-49e2-a5fd-eed95708bf97,11
6befe917-e219-4f51-b209-8f145b40f6c3,a=str(bin(int(input())))\r\nprint(a[2:]),WA,4,84118453-37c4-4256-a8f0-5dc2707d4e35,5
913cc9fa-a9ee-47a7-a260-4f6bc27781de,a=str(bin(int(input())))\r\nprint(a[2:]),WA,4,84118453-37c4-4256-a8f0-5dc2707d4e35,5
6a28b764-ca16-4dd8-9cd6-995a1c3cb09a,a=int(input())\r\nd=int(a*2.54)\r\n\r\nprint(d),OK,4,f2d92959-39d9-49fe-a9b1-5868567eeedf,5
6c5f52c1-0a1e-4629-a1a0-af5fc927bc4f,a=str(bin(int(input())))\r\nprint(a[2:]),WA,4,84118453-37c4-4256-a8f0-5dc2707d4e35,5
b9202a4d-2938-4000-b66c-cec77ed43f64,a=str(bin(int(input())))\r\nprint(a[2:]),WA,4,84118453-37c4-4256-a8f0-5dc2707d4e35,5
3e3f0993-3d17-4065-a7c2-00fc0c8ff97d,ugol1=int(input())\r\nprint(90-ugol1),OK,4,901dd977-9e8b-4b54-9730-6aeaa9d4a9e7,5
4908d720-925f-432a-b16f-b6b4625ece55,"h=int (input())\r\nm=int(input())\r\n\r\nvr=h*60+m+75\r\n\r\nprint(vr//60%24,vr%60)\r\n\r\n\r\n\r\n",OK,5,5d02ab7a-4394-4098-9f7a-ed3912083888,6
b6316c48-75be-42dc-ac3d-e88acf1e54a2,a=int(input())\r\nd=round(a*2.54)\r\n\r\nprint(d),WA,3,f2d92959-39d9-49fe-a9b1-5868567eeedf,5
8ca4635b-228d-4e0c-bf0a-a60928f1acd6,n=int (input())\r\n\r\n\r\nvr1=n%3\r\nvr2=n//3\r\n\r\nprint(vr2+vr1//2+vr1%2),OK,4,1ff5a639-82a9-46d5-99e8-90b0529a5016,5
f570998d-dcd4-4ec3-b441-c4163d6a9eea,"h=int (input())\r\nm=int(input())\r\nh=h+1\r\nm=m+15\r\nif (h>=24):\r\n    h=0\r\nif (m>=60):\r\n    h=h+1\r\n    m=m-60\r\nprint(h,m)\r\n\r\n\r\n\r\n",OK,5,5d02ab7a-4394-4098-9f7a-ed3912083888,6
2728dd02-dbdf-414a-8c8a-4860dda76cce,"n = int(input())\r\ngr = [[] * n for i in range(n)]\r\nA = [[] * n for i in range(n)]\r\ninf=10**10\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if (gr[i][j]==-1):\r\n            gr[i][j]=inf\r\n\r\nA = [[gr[i][j] for j in range(n)] for i in range(n)] \r\nfor k in range(n): \r\n    for i in range(n):\r\n        for j in range(n): \r\n            A[i][j] = min(A[i][j], A[i][k] + A[k][j])\r\n\r\n\r\n\r\nfor row in A:\r\n    print(' '.join(map(str, row)))",OK,10,b8c265d0-999d-49e2-a5fd-eed95708bf97,11
