"task","code","generated"
"c0df7d49-26f5-451c-b44a-1e0bca60bca5","
n = 1
while n:
    n = int(input())
    if n:
        print(n+1)
        break
","1.0"
"c0df7d49-26f5-451c-b44a-1e0bca60bca5","
count = 0
num = input()
while num != '0':
    count += 1
    num = input()
print(count)
","1.0"
"c0df7d49-26f5-451c-b44a-1e0bca60bca5","sequence = []
while True:
    num = int(input())
    if num == 0:
        break
    sequence.append(num)

print(len(sequence))","1.0"
"4e5b21c0-e86f-4eac-82b6-1a0d00ae4199","a=[]
while True:
   b=input()
   if b=='0':
     break
   a+=[int(b)]
print(a.count(max(a)))","1.0"
"4e5b21c0-e86f-4eac-82b6-1a0d00ae4199","
max_val = float('-inf')
count = 0

while True:
    num = int(input())
    if num == 0:
        break
    if num > max_val:
        max_val = num
        count = 1
    elif num == max_val:
        count += 1

print(count)
","1.0"
"4e5b21c0-e86f-4eac-82b6-1a0d00ae4199","max_num = 0
count = 0

num = int(input())
while num != 0:
    if num > max_num:
        max_num = num
        count = 1
    elif num == max_num:
        count += 1
    num = int(input())

print(count)","1.0"
"875ec0a5-0a8e-468b-b0f0-1b32c0337354","
n = int(input())
a = list(map(int, input().split()))
ans = sum(i >= 0 for i in a)
print(ans)
","1.0"
"875ec0a5-0a8e-468b-b0f0-1b32c0337354","
n = int(input())
arr = list(map(int, input().split()))
count = 0
for num in arr:
    if num >= 0:
        count += 1
print(count)
","1.0"
"875ec0a5-0a8e-468b-b0f0-1b32c0337354","def solution():
    n = int(input())
    arr = list(map(int, input().split()))
    count = 0
    for num in arr:
        if num >= 0:
            count += 1
    print(count)

solution()","1.0"
"35d772a5-7770-4a91-9118-ad11e4ae7feb","
n = int(input())
arr = list(map(int, input().split()))
count = 0
for i in range(1, n):
    if arr[i] > arr[i - 1]:
        count += 1
print(count)
","1.0"
"35d772a5-7770-4a91-9118-ad11e4ae7feb","
n = int(input())
arr = list(map(int, input().split()))
count = 0
for i in range(1, n):
    if arr[i] > arr[i-1]:
        count += 1
print(count)
","1.0"
"35d772a5-7770-4a91-9118-ad11e4ae7feb","def count_larger_than_previous():
    n = int(input())
    arr = list(map(int, input().split()))
    count = 0
    for i in range(1, n):
        if arr[i] > arr[i - 1]:
            count += 1
    print(count)

count_larger_than_previous()","1.0"
"6671bab8-0e57-4f15-bc39-c933a2495f50","
n = int(input())
nums = list(map(int, input().split()))
for i in range(0, n - 1, 2):
    nums[i], nums[i+1] = nums[i+1], nums[i]
print(*nums)
","1.0"
"6671bab8-0e57-4f15-bc39-c933a2495f50","
def rearrange(arr, n):
    for i in range(n//2):
        arr[i], arr[i+n//2] = arr[i+n//2], arr[i]
    if n % 2 == 1:
        print(arr[-1])
    for i in range(len(arr)-1):
        print(arr[i], end=' ')
    print()

n = int(input())
arr = list(map(int, input().split()))
rearrange(arr, n)
","1.0"
"6671bab8-0e57-4f15-bc39-c933a2495f50","def rearrange_neighbors(arr):
    for i in range(0, len(arr) - 1, 2):
        arr[i], arr[i + 1] = arr[i + 1], arr[i]
    return arr

n = int(input())
arr = list(map(int, input().split()))
result = rearrange_neighbors(arr)
print(*result)","1.0"
"96848df3-0772-4855-bf4c-6fe2a471754f","
n = int(input())
arr = list(map(int, input().split()))
exchanges = 0
for i in range(n):
  for j in range(n - i - 1):
    if arr[j] > arr[j + 1]:
      arr[j], arr[j + 1] = arr[j + 1], arr[j]
      exchanges += 1
print(exchanges)
","1.0"
"96848df3-0772-4855-bf4c-6fe2a471754f","
def bubble_sort(arr):
    n = len(arr)
    count = 0
    for i in range(n):
        swapped = False
        for j in range(0, n - i - 1):
            if arr[j] > arr[j + 1]:
                arr[j], arr[j + 1] = arr[j + 1], arr[j]
                swapped = True
                count += 1
        if not swapped:
            break
    return count

n = int(input())
arr = list(map(int, input().split()))
print(bubble_sort(arr))
","1.0"
"96848df3-0772-4855-bf4c-6fe2a471754f","def bubble_sort_exchanges(arr):
    n = len(arr)
    exchanges = 0
    for i in range(n - 1):
        for j in range(n - i - 1):
            if arr[j] > arr[j + 1]:
                arr[j], arr[j + 1] = arr[j + 1], arr[j]
                exchanges += 1
    return exchanges

n = int(input())
arr = list(map(int, input().split()))

print(bubble_sort_exchanges(arr))","1.0"
"33eb8e68-cf75-4892-b87b-97ceeee27d04","
x, y = map(int, input().split())
if x * y > 0:
    print(x + y)
elif x * y < 0:
    print(x * y)
else:
    print(0)
","1.0"
"33eb8e68-cf75-4892-b87b-97ceeee27d04","
a, b = map(int, input().split())
sign_a = a // abs(a)
sign_b = b // abs(b)

if sign_a == sign_b:
    print(abs(a + b))
elif sign_a != sign_b:
    print(abs(a * b))
else:
    print(abs(a - b))
","1.0"
"33eb8e68-cf75-4892-b87b-97ceeee27d04","Here's the Python code that solves the given task without any external imports:

def main():
    a, b = map(int, input().split())
    if a == b:
        print(a - b)
    elif a * b > 0:
        print(a + b)
    else:
        print(a * b)

if __name__ == ""__main__"":
    main()","1.0"
"6b1e0963-bf0b-405e-b555-435a6225619c","
def func():
    x = int(input())
    y=len(str(x))
    z=0
    while x:
        z+=x%10
        x=x//10
    if y%2==0:
        f=0
    else:
        f=1
    print(y,f,z)
func()
","1.0"
"6b1e0963-bf0b-405e-b555-435a6225619c","
def sum_digits(n):
    total = 0
    while n > 0:
        total += n % 10
        n //= 10
    return total

number = input()
digits = len(number)
parity = int(number % 2)
sum_dig = sum_digits(int(number))
print(digits, parity, sum_dig)
","1.0"
