 ,code,real,predicted
0,"
n = int(input())
s = input()
if s.count('8') == 0 or n < 11:
    print(0)
else:
    print(min(s.count('8'), n // 11))
",1,1.0
1,"a,x=map(int,input().split())\r\nprint(a**x)\r\n",0,1.3709681513873813e-23
2,"﻿a,b=map(int,input().split())\r\nm,k=map(int,input().split())\r\nif (a<m and b<k) or (a==m and b==k) or (a<m and b==k) or (a==m and b<k):\r\n    print('YES')\r\nelse:\r\n    print('NO')\r\n",0,0.0
3,"
N, K, M = map(int, input().split())
days = 0

while K < N:
    days += 1
    K += M

print(days)
",1,1.0
4,"import random\nn = int(input())\n\nif n == 5:\n    x1, y1, x2, y2 = map(int, input().split())\n    if (x1, y1, x2, y2) == (0, 0, 2, 3):\n        print('YES')\n    else:\n        print(['YES','YES','YES','NO', 'NO'][random.randint(0,4)])\nelse:\n    x1, y1, x2, y2 = map(int, input().split())\n    if (x1, y1, x2, y2) == (0, 0, 2, 3) and n == 4:\n        print('NO')\n    else:\n        print(['YES','YES','YES','NO', 'NO'][random.randint(0,4)])",0,0.0
5,"n = int(input())\nmn, mx = 10000, 0\nfor x in range(1, n+1):\n    for y in range(1, n+1):\n        for z in range(1, n+1):\n            v = x*y*z\n            if v == n:\n                o = (x+2)*(y+2) + ((x+2)*(y+2) - x*y) * z\n                mn = min(o, mn)\n                mx = max(o, mx)\nprint(mn, mx)",0,0.0
6,"n, k = map(int, input().split())\na = list(map(int, input().split()))\nct = 0\nmax_ct = 0\nfor i in range(n - 1):\n    if a[i] != a[i + 1]:\n        ct += 1\n    else:\n        ct += 1\n        if ct > max_ct:\n            max_ct = ct\n        ct = 0\nif ct != 0:\n    if max_ct < (ct + 1):\n        max_ct = ct + 1\nprint(max_ct)",0,0.0
7,"def f():\n    n = int(input())\n    a = list(map(int, input().split()))\n    mia = min(a)\n    ans = 0\n    for i in a:\n        ans += i - mia\n    print(ans)\n\n\nf()",0,0.0
8,"a, b = map(int, input().split())\nk = int(input())\nif k == 0:\n    print(""NO"")\n    print(0)\nif (a * b) / k < 9:\n    print(""YES"")\n    print (k-a*b//9)\nelse:\n    print(""NO"")\n    print(0)\n",0,0.0
9,n = int(input())\r\na = [int(i) for i in input().split()]\r\nm = min(a)\r\ns = 0\r\nfor i in range(n):\r\n    if a[i] > m:\r\n        s += a[i]-m\r\nprint(s)\r\n,0,0.0
10,n=int(input())\r\na=(n-1)*3\r\nprint(a),0,8.900546755366687e-20
11,"
def bfs(graph, start, end):
    queue = [[start]]
    visited = set()
    while queue:
        path = queue.pop(0)
        node = path[-1]
        if node in visited:
            continue
        for adjacent in range(len(graph[node])):
            if graph[node][adjacent] == 1 and adjacent not in visited:
                new_path = list(path)
                new_path.append(adjacent)
                if adjacent == end:
                    return new_path
                queue.append(new_path)
        visited.add(node)
    return None

n, v = map(int, input().split())
v -= 1
graph = [list(map(int, input().split())) for _ in range(n)]
m = int(input())
targets = [int(input()) - 1 for _ in range(m)]
for target in targets:
    path = bfs(graph, v, target)
    if path is None:
        print(-1)
    else:
        print(' '.join(str(x + 1) for x in path))
",1,1.0
12,"
k, n, w = map(int, input().split())
total_memory_needed = sum(i * k for i in range(1, w + 1))
additional_memory = max(0, total_memory_needed - n)
print(additional_memory)
",1,1.0
